Timestamp,Gender,Boarding,Grade,Athlete,Activities,DHBreakfast,NDHBreakfast,BClass,DHBoxes,NDHBoxes,NDHMeals,Nutrition,Money
10/22/2020 13:04:22,Male,Boarding,11th,No,Musical,2,0,No,1,1,7,3,0.00
10/22/2020 13:04:34,Female,Boarding,10th,No,,0,0,No,2,0,6,0,7.00
10/22/2020 13:11:39,Male,Boarding,11th,Yes,Intramurals,2,0,Yes,2,1,10,0,20.00
10/22/2020 13:14:42,Male,Boarding,12th,No,None of the above,2,0,Yes,3,1,2,4,20.00
10/22/2020 13:40:43,Male,Boarding,11th,Yes,Football,7,0,No,5,2,6,5,15.00
10/22/2020 13:41:33,Male,Day,10th,Yes,None of the above,0,7,Yes,4,0,0,2,10.00
10/22/2020 13:50:26,Female,Boarding,11th,No,Golf,2,5,No,1,0,5,5,1.50
10/22/2020 13:50:58,Male,Boarding,10th,Yes,Soccer,2,0,Yes,2,0,0,1,5.00
10/22/2020 13:55:51,Female,Day,11th,Yes,Golf,4,3,Yes,2,1,4,1,30.00
10/22/2020 13:57:21,Female,Day,9th,Yes,Cross Country,0,7,No,1,0,3,2,3.00
10/22/2020 13:57:24,Male,Boarding,12th,Yes,Football,2,0,No,4,1,5,5,5.00
10/22/2020 13:59:24,Male,Boarding,12th,Yes,Soccer,2,5,No,3,0,0,5,40.00
10/22/2020 13:59:39,Male,Boarding,10th,Yes,Soccer,4,0,Yes,2,1,4,0,50.00
10/22/2020 14:00:37,Female,Boarding,12th,No,Cross Country,2,0,Yes,2,2,3,2,5.00
10/22/2020 14:06:16,Male,Boarding,10th,Yes,Pre-season conditioning,5,1,Yes,2,2,1,4,3.00
10/22/2020 14:14:03,Female,Boarding,11th,Yes,Cross Country,7,0,No,2,2,0,3,0.00
10/22/2020 14:15:50,Male,Boarding,11th,Yes,Football,7,7,No,2,0,3,5,
10/22/2020 14:18:55,Male,Day,9th,No,None of the above,0,3,Yes,2,0,1,0,20.00
10/22/2020 14:21:35,Male,Boarding,10th,Yes,None of the above,7,0,Yes,3,2,1,5,
10/22/2020 14:26:26,Male,Day,11th,Yes,Football,7,7,Yes,9,5,10,5,
10/22/2020 14:27:20,Female,Day,10th,Yes,None of the above,5,0,No,1,0,0,3,5.00
10/22/2020 14:27:58,Male,Day,10th,Yes,Pre-season conditioning,6,1,No,5,1,1,3,20.00
10/22/2020 14:28:08,Female,Boarding,12th,Yes,Golf,3,1,Yes,2,0,0,3,20.00
10/22/2020 14:30:57,Male,Boarding,10th,Yes,Football,4,3,Yes,4,1,8,3,30.00
10/22/2020 14:31:50,Male,Boarding,11th,Yes,Soccer,7,0,No,3,0,7,3,20.00
10/22/2020 14:56:43,Other,Day,9th,Yes,Soccer,3,4,Yes,2,0,5,1,
10/22/2020 15:00:32,Female,Boarding,9th,Yes,Volleyball,4,0,Yes,2,1,2,0,7.00
10/22/2020 15:18:20,Female,Day,9th,Yes,Volleyball,0,6,Yes,1,0,4,3,6.00
10/22/2020 15:49:45,Female,Boarding,11th,Yes,Pre-season conditioning,7,0,No,2,0,4,0,15.00
10/22/2020 16:01:32,Male,Boarding,10th,Yes,Intramurals,6,5,No,3,0,6,5,25.00
10/22/2020 17:24:39,Male,Day,11th,No,None of the above,0,0,No,3,1,0,2,
10/22/2020 17:34:11,Female,Boarding,10th,No,None of the above,7,2,No,,,2,2,20.00
10/22/2020 17:47:59,Female,Day,10th,Yes,Pre-season conditioning,0,3,Yes,2,0,3,4,45.00
10/22/2020 18:09:12,Male,Day,12th,No,Musical,0,5,No,2,5,0,3,0.00
10/22/2020 18:23:39,Male,Boarding,11th,Yes,Intramurals,7,0,Yes,4,3,2,4,15.00
10/22/2020 18:28:51,Male,Day,12th,Yes,None of the above,0,1,No,5,0,0,0,
10/22/2020 19:34:32,Female,Boarding,10th,Yes,Pre-season conditioning,0,0,Yes,1,0,0,1,2.00
10/22/2020 19:46:38,Female,Boarding,10th,Yes,Musical,2,0,No,2,1,2,3,5.00
10/22/2020 19:50:51,Male,Boarding,9th,Yes,None of the above,4,3,Yes,2,0,2,1,3.00
10/22/2020 19:57:47,Male,Day,10th,Yes,None of the above,0,7,No,4,0,0,4,0.00
10/22/2020 20:40:06,Male,Boarding,11th,Yes,Soccer,1,0,Yes,2,1,4,3,20.00
10/22/2020 21:01:52,Female,Boarding,10th,Yes,Volleyball,2,5,Yes,2,0,5,5,20.00
10/22/2020 21:07:53,Female,Day,10th,Yes,Volleyball,2,4,No,1,0,0,5,
10/22/2020 21:31:12,Male,Day,11th,Yes,Football,1,6,Yes,3,1,1,3,40.00
10/22/2020 21:35:17,Male,Boarding,10th,Yes,Soccer,6,2,No,2,1,5,3,30.00
10/22/2020 21:39:38,Male,Boarding,9th,,Football,4,0,Yes,2,1,6,3,5.50
10/22/2020 21:39:52,Male,Boarding,12th,Yes,Soccer,7,1,No,4,2,9,4,10.00
10/23/2020 5:52:55,Non-Binary,Day,9th,No,Musical,0,0,Yes,1,0,0,1,20.00
10/23/2020 8:02:17,Male,Day,9th,No,Musical,0,7,No,2,0,1,4,
10/23/2020 8:51:19,Female,Day,9th,Yes,Soccer,0,2,Yes,2,0,2,0,0.00
10/23/2020 10:39:15,Male,Boarding,12th,No,None of the above,2,0,Yes,2,1,5,1,25.00
10/23/2020 12:34:25,Female,Day,11th,No,None of the above,0,7,No,2,0,0,3,0.00
10/23/2020 22:51:15,Male,Day,9th,No,Cross Country,0,0,No,0,0,0,0,1.00
10/24/2020 17:39:51,Female,Day,10th,No,Pre-season conditioning,0,2,Yes,1,0,0,4,0.00
10/25/2020 16:01:48,Male,Day,9th,Yes,Cross Country,0,7,No,2,0,0,3,3.00
